symbol,timeframe,r1,r2,strategy_name,start_time,end_time,total_return,annual_return,max_drawdown,sharpe_ratio,win_rate,profit_factor,total_trades,winning_trades,losing_trades,avg_win,avg_loss,final_capital
BTCUSDT,1d,20,91,RSI_R1_20_R2_91,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.21814832172571577,-0.2822808598086789,-0.33544401531827134,-0.8991796030409783,0.5,0.3231069032992004,4,2,2,0.07280330050546058,-0.17429755909057804,7818.516782742842
BTCUSDT,1d,20,92,RSI_R1_20_R2_92,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.21814832172571577,-0.2822808598086789,-0.33544401531827134,-0.8991796030409783,0.5,0.3231069032992004,4,2,2,0.07280330050546058,-0.17429755909057804,7818.516782742842
BTCUSDT,1d,20,93,RSI_R1_20_R2_93,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.21814832172571577,-0.2822808598086789,-0.33544401531827134,-0.8991796030409783,0.5,0.3231069032992004,4,2,2,0.07280330050546058,-0.17429755909057804,7818.516782742842
BTCUSDT,1d,20,94,RSI_R1_20_R2_94,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.21814832172571577,-0.2822808598086789,-0.33544401531827134,-0.8991796030409783,0.5,0.3231069032992004,4,2,2,0.07280330050546058,-0.17429755909057804,7818.516782742842
BTCUSDT,1d,20,95,RSI_R1_20_R2_95,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.21814832172571577,-0.2822808598086789,-0.33544401531827134,-0.8991796030409783,0.5,0.3231069032992004,4,2,2,0.07280330050546058,-0.17429755909057804,7818.516782742842
BTCUSDT,1d,20,96,RSI_R1_20_R2_96,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.21814832172571577,-0.2822808598086789,-0.33544401531827134,-0.8991796030409783,0.5,0.3231069032992004,4,2,2,0.07280330050546058,-0.17429755909057804,7818.516782742842
BTCUSDT,1d,20,97,RSI_R1_20_R2_97,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.21814832172571577,-0.2822808598086789,-0.33544401531827134,-0.8991796030409783,0.5,0.3231069032992004,4,2,2,0.07280330050546058,-0.17429755909057804,7818.516782742842
BTCUSDT,1d,20,98,RSI_R1_20_R2_98,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.21814832172571577,-0.2822808598086789,-0.33544401531827134,-0.8991796030409783,0.5,0.3231069032992004,4,2,2,0.07280330050546058,-0.17429755909057804,7818.516782742842
BTCUSDT,1d,20,99,RSI_R1_20_R2_99,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.21814832172571577,-0.2822808598086789,-0.33544401531827134,-0.8991796030409783,0.5,0.3231069032992004,4,2,2,0.07280330050546058,-0.17429755909057804,7818.516782742842
BTCUSDT,1d,20,100,RSI_R1_20_R2_100,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.21814832172571577,-0.2822808598086789,-0.33544401531827134,-0.8991796030409783,0.5,0.3231069032992004,4,2,2,0.07280330050546058,-0.17429755909057804,7818.516782742842
BTCUSDT,1d,21,60,RSI_R1_21_R2_60,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.2711816425732768,-0.34710968989100033,-0.36203628286976364,-1.2072511866723077,0.4,0.32175985221078174,5,2,3,0.08565841988754963,-0.1475493827438156,7288.183574267232
BTCUSDT,1d,21,61,RSI_R1_21_R2_61,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.23050871010384089,-0.29753133946372745,-0.36203628286976364,-0.9488098054416754,0.4,0.4234850850374728,5,2,3,0.11617705279454626,-0.1475493827438156,7694.912898961591
BTCUSDT,1d,21,62,RSI_R1_21_R2_62,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.23050871010384089,-0.29753133946372745,-0.36203628286976364,-0.9488098054416754,0.4,0.4234850850374728,5,2,3,0.11617705279454626,-0.1475493827438156,7694.912898961591
BTCUSDT,1d,21,63,RSI_R1_21_R2_63,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.27217296909549515,-0.34830630867151824,-0.39657895526489817,-1.130441553207648,0.4,0.2951355026620133,5,2,3,0.08700389159610544,-0.1475493827438156,7278.270309045049
BTCUSDT,1d,21,64,RSI_R1_21_R2_64,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.27217296909549515,-0.34830630867151824,-0.39657895526489817,-1.130441553207648,0.4,0.2951355026620133,5,2,3,0.08700389159610544,-0.1475493827438156,7278.270309045049
BTCUSDT,1d,21,65,RSI_R1_21_R2_65,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.27217296909549515,-0.34830630867151824,-0.39657895526489817,-1.130441553207648,0.4,0.2951355026620133,5,2,3,0.08700389159610544,-0.1475493827438156,7278.270309045049
BTCUSDT,1d,21,66,RSI_R1_21_R2_66,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.27217296909549515,-0.34830630867151824,-0.39657895526489817,-1.130441553207648,0.4,0.2951355026620133,5,2,3,0.08700389159610544,-0.1475493827438156,7278.270309045049
BTCUSDT,1d,21,67,RSI_R1_21_R2_67,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.27217296909549515,-0.34830630867151824,-0.39657895526489817,-1.130441553207648,0.4,0.2951355026620133,5,2,3,0.08700389159610544,-0.1475493827438156,7278.270309045049
BTCUSDT,1d,21,68,RSI_R1_21_R2_68,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.27217296909549515,-0.34830630867151824,-0.39657895526489817,-1.130441553207648,0.4,0.2951355026620133,5,2,3,0.08700389159610544,-0.1475493827438156,7278.270309045049
BTCUSDT,1d,21,69,RSI_R1_21_R2_69,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.27217296909549515,-0.34830630867151824,-0.39657895526489817,-1.130441553207648,0.4,0.2951355026620133,5,2,3,0.08700389159610544,-0.1475493827438156,7278.270309045049
BTCUSDT,1d,21,70,RSI_R1_21_R2_70,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.27217296909549515,-0.34830630867151824,-0.39657895526489817,-1.130441553207648,0.4,0.2951355026620133,5,2,3,0.08700389159610544,-0.1475493827438156,7278.270309045049
BTCUSDT,1d,21,71,RSI_R1_21_R2_71,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.27217296909549515,-0.34830630867151824,-0.39657895526489817,-1.130441553207648,0.4,0.2951355026620133,5,2,3,0.08700389159610544,-0.1475493827438156,7278.270309045049
BTCUSDT,1d,21,72,RSI_R1_21_R2_72,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.27217296909549515,-0.34830630867151824,-0.39657895526489817,-1.130441553207648,0.4,0.2951355026620133,5,2,3,0.08700389159610544,-0.1475493827438156,7278.270309045049
BTCUSDT,1d,21,73,RSI_R1_21_R2_73,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.29007372229427686,-0.3698160950270213,-0.39657895526489817,-1.2230999868514452,0.4,0.2487767277720514,5,2,3,0.07280330050546058,-0.1475493827438156,7099.262777057232
BTCUSDT,1d,21,74,RSI_R1_21_R2_74,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.29007372229427686,-0.3698160950270213,-0.39657895526489817,-1.2230999868514452,0.4,0.2487767277720514,5,2,3,0.07280330050546058,-0.1475493827438156,7099.262777057232
BTCUSDT,1d,21,75,RSI_R1_21_R2_75,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.29007372229427686,-0.3698160950270213,-0.39657895526489817,-1.2230999868514452,0.4,0.2487767277720514,5,2,3,0.07280330050546058,-0.1475493827438156,7099.262777057232
BTCUSDT,1d,21,76,RSI_R1_21_R2_76,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.29007372229427686,-0.3698160950270213,-0.39657895526489817,-1.2230999868514452,0.4,0.2487767277720514,5,2,3,0.07280330050546058,-0.1475493827438156,7099.262777057232
BTCUSDT,1d,21,77,RSI_R1_21_R2_77,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.29007372229427686,-0.3698160950270213,-0.39657895526489817,-1.2230999868514452,0.4,0.2487767277720514,5,2,3,0.07280330050546058,-0.1475493827438156,7099.262777057232
BTCUSDT,1d,21,78,RSI_R1_21_R2_78,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.29007372229427686,-0.3698160950270213,-0.39657895526489817,-1.2230999868514452,0.4,0.2487767277720514,5,2,3,0.07280330050546058,-0.1475493827438156,7099.262777057232
BTCUSDT,1d,21,79,RSI_R1_21_R2_79,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.29007372229427686,-0.3698160950270213,-0.39657895526489817,-1.2230999868514452,0.4,0.2487767277720514,5,2,3,0.07280330050546058,-0.1475493827438156,7099.262777057232
BTCUSDT,1d,21,80,RSI_R1_21_R2_80,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.29007372229427686,-0.3698160950270213,-0.39657895526489817,-1.2230999868514452,0.4,0.2487767277720514,5,2,3,0.07280330050546058,-0.1475493827438156,7099.262777057232
BTCUSDT,1d,21,81,RSI_R1_21_R2_81,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.29007372229427686,-0.3698160950270213,-0.39657895526489817,-1.2230999868514452,0.4,0.2487767277720514,5,2,3,0.07280330050546058,-0.1475493827438156,7099.262777057232
BTCUSDT,1d,21,82,RSI_R1_21_R2_82,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.29007372229427686,-0.3698160950270213,-0.39657895526489817,-1.2230999868514452,0.4,0.2487767277720514,5,2,3,0.07280330050546058,-0.1475493827438156,7099.262777057232
BTCUSDT,1d,21,83,RSI_R1_21_R2_83,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.29007372229427686,-0.3698160950270213,-0.39657895526489817,-1.2230999868514452,0.4,0.2487767277720514,5,2,3,0.07280330050546058,-0.1475493827438156,7099.262777057232
BTCUSDT,1d,21,84,RSI_R1_21_R2_84,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.29007372229427686,-0.3698160950270213,-0.39657895526489817,-1.2230999868514452,0.4,0.2487767277720514,5,2,3,0.07280330050546058,-0.1475493827438156,7099.262777057232
BTCUSDT,1d,21,85,RSI_R1_21_R2_85,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.29007372229427686,-0.3698160950270213,-0.39657895526489817,-1.2230999868514452,0.4,0.2487767277720514,5,2,3,0.07280330050546058,-0.1475493827438156,7099.262777057232
BTCUSDT,1d,21,86,RSI_R1_21_R2_86,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.29007372229427686,-0.3698160950270213,-0.39657895526489817,-1.2230999868514452,0.4,0.2487767277720514,5,2,3,0.07280330050546058,-0.1475493827438156,7099.262777057232
BTCUSDT,1d,21,87,RSI_R1_21_R2_87,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.29007372229427686,-0.3698160950270213,-0.39657895526489817,-1.2230999868514452,0.4,0.2487767277720514,5,2,3,0.07280330050546058,-0.1475493827438156,7099.262777057232
BTCUSDT,1d,21,88,RSI_R1_21_R2_88,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.29007372229427686,-0.3698160950270213,-0.39657895526489817,-1.2230999868514452,0.4,0.2487767277720514,5,2,3,0.07280330050546058,-0.1475493827438156,7099.262777057232
BTCUSDT,1d,21,89,RSI_R1_21_R2_89,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.29007372229427686,-0.3698160950270213,-0.39657895526489817,-1.2230999868514452,0.4,0.2487767277720514,5,2,3,0.07280330050546058,-0.1475493827438156,7099.262777057232
BTCUSDT,1d,21,90,RSI_R1_21_R2_90,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.29007372229427686,-0.3698160950270213,-0.39657895526489817,-1.2230999868514452,0.4,0.2487767277720514,5,2,3,0.07280330050546058,-0.1475493827438156,7099.262777057232
BTCUSDT,1d,21,91,RSI_R1_21_R2_91,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.29007372229427686,-0.3698160950270213,-0.39657895526489817,-1.2230999868514452,0.4,0.2487767277720514,5,2,3,0.07280330050546058,-0.1475493827438156,7099.262777057232
BTCUSDT,1d,21,92,RSI_R1_21_R2_92,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.29007372229427686,-0.3698160950270213,-0.39657895526489817,-1.2230999868514452,0.4,0.2487767277720514,5,2,3,0.07280330050546058,-0.1475493827438156,7099.262777057232
